,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
151,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b1_c1_n3,stimulus_o1_b1_c3_n3,left,1,1,1,1,1,3,3,3,,1.2069651999991038
152,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b2_c2_n3,stimulus_o1_b2_c3_n1,right,1,1,2,2,2,3,3,1,,1.9857518000007985
153,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b2_c2_n3,stimulus_o2_b2_c2_n1,right,1,2,2,2,2,2,3,1,,1.0116279999983817
154,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c1_n2,stimulus_o2_b3_c1_n1,left,1,2,3,3,1,1,2,1,,0.9728888999998162
155,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b2_c1_n1,stimulus_o2_b2_c1_n3,left,2,2,2,2,1,1,1,3,,2.2488561000009213
156,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c2_n3,stimulus_o2_b3_c2_n3,left,1,2,3,3,2,2,3,3,,4.000034000000596
157,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b1_c1_n3,stimulus_o2_b2_c2_n2,left,2,2,1,2,1,2,3,2,,4.023312500001339
158,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b1_c2_n3,stimulus_o2_b1_c3_n1,right,2,2,1,1,2,3,3,1,,1.9895918000001984
159,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c3_n1,stimulus_o2_b3_c2_n1,right,1,2,3,3,3,2,1,1,,1.384288999999626
160,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c2_n2,stimulus_o1_b3_c2_n3,left,1,1,3,3,2,2,2,3,,6.011610999999903
161,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b3_c1_n1,stimulus_o2_b2_c3_n3,left,1,2,3,2,1,3,1,3,,1.272961700000451
162,2021_Oct_29_1113,016,23,female,danish,stimulus_o2_b2_c1_n1,stimulus_o2_b3_c2_n2,left,2,2,2,3,1,2,1,2,,1.3199184000004607
163,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b1_c2_n2,stimulus_o2_b1_c3_n3,left,1,2,1,1,2,3,2,3,,1.6850352000001294
164,2021_Oct_29_1113,016,23,female,danish,stimulus_o1_b2_c3_n1,stimulus_o2_b1_c1_n1,right,1,2,2,1,3,1,1,1,,1.139943399999538
