,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b2_c1_n1,stimulus_o2_b1_c3_n2,right,1,2,2,1,1,3,1,2,,1.5199063999989448
1,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b3_c1_n3,stimulus_o2_b3_c1_n3,right,1,2,3,3,1,1,3,3,,2.3068174
2,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b1_c3_n1,stimulus_o1_b2_c3_n3,right,1,1,1,2,3,3,1,3,,1.8314332999998442
3,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o2_b2_c1_n1,stimulus_o2_b2_c3_n3,left,2,2,2,2,1,3,1,3,,1.8552376000006916
4,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b2_c3_n3,stimulus_o1_b3_c3_n3,right,1,1,2,3,3,3,3,3,,2.0876975000010134
5,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b3_c1_n1,stimulus_o2_b1_c3_n1,right,1,2,3,1,1,3,1,1,,1.7097056999991764
6,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b3_c1_n1,stimulus_o2_b1_c2_n1,right,1,2,3,1,1,2,1,1,,1.6111949000005552
7,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o2_b2_c2_n3,stimulus_o2_b3_c1_n3,right,2,2,2,3,2,1,3,3,,1.7890455999986443
8,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o2_b1_c2_n1,stimulus_o2_b3_c3_n2,right,2,2,1,3,2,3,1,2,,1.7992856000000756
9,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o2_b1_c2_n2,stimulus_o2_b3_c2_n3,right,2,2,1,3,2,2,2,3,,1.872587100000601
10,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b2_c1_n3,stimulus_o1_b3_c3_n3,right,1,1,2,3,1,3,3,3,,1.9191496999992523
11,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o2_b2_c1_n3,stimulus_o2_b3_c3_n3,right,2,2,2,3,1,3,3,3,,1.4276935000016238
12,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c2_n2,right,1,1,3,3,1,2,2,2,,1.8836460000002262
13,2021_Nov_22_1221,043,24,female,Hungarian,stimulus_o1_b2_c1_n2,stimulus_o2_b2_c2_n1,right,1,2,2,2,1,2,2,1,,1.9061626999991859
