,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c1_n2,stimulus_o2_b1_c1_n3,left,2,2,1,1,1,1,2,3,,4.280084400000305
1,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c3_n1,stimulus_o2_b1_c2_n2,left,1,2,3,1,3,2,1,2,,3.331990300000143
2,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c3_n1,stimulus_o1_b2_c1_n1,right,1,1,1,2,3,1,1,1,,2.2074809999994613
3,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c2_n3,stimulus_o2_b2_c3_n1,right,1,2,3,2,2,3,3,1,,2.8008921999999075
4,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c2_n3,stimulus_o2_b2_c2_n3,right,2,2,1,2,2,2,3,3,,2.873756900000444
5,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c2_n2,stimulus_o2_b3_c2_n2,left,1,2,1,3,2,2,2,2,,3.287364300000263
6,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n2,stimulus_o2_b3_c3_n2,left,1,2,1,3,1,3,2,2,,2.076719200000298
7,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c1_n3,stimulus_o1_b3_c2_n2,right,1,1,3,3,1,2,3,2,,1.5793574999997873
8,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c3_n2,right,1,1,3,3,1,3,1,2,,1.5808446999999433
9,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b2_c3_n1,stimulus_o2_b1_c2_n3,left,1,2,2,1,3,2,1,3,,1.423765800000183
10,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c1_n2,stimulus_o2_b3_c3_n1,right,2,2,2,3,1,3,2,1,,1.4891258999996353
11,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c2_n3,stimulus_o1_b3_c3_n3,left,1,1,3,3,2,3,3,3,,2.2064887999995335
12,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c2_n2,stimulus_o2_b3_c1_n1,right,2,2,1,3,2,1,2,1,,1.8888839000001099
13,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b2_c1_n2,stimulus_o2_b2_c3_n3,left,1,2,2,2,1,3,2,3,,2.2943207999996957
14,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c3_n1,stimulus_o1_b2_c2_n3,left,1,1,1,2,3,2,1,3,,2.220037500000217
15,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c3_n2,stimulus_o2_b3_c2_n1,left,2,2,2,3,3,2,2,1,,1.852734000000055
16,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c1_n1,stimulus_o2_b3_c3_n2,left,2,2,2,3,1,3,1,2,,2.228183100000024
17,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c3_n2,stimulus_o2_b3_c2_n2,left,2,2,1,3,3,2,2,2,,2.732205599999361
18,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c3_n2,stimulus_o2_b3_c1_n3,right,2,2,2,3,3,1,2,3,,3.2003727000001163
19,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c3_n1,left,2,2,2,2,2,3,1,1,,2.3679474999999
20,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c3_n3,stimulus_o2_b3_c3_n2,right,1,2,3,3,3,3,3,2,,2.162359999999353
21,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c3_n2,stimulus_o2_b2_c1_n1,right,1,2,3,2,3,1,2,1,,1.2129144000000451
22,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b2_c2_n1,stimulus_o2_b2_c1_n1,right,1,2,2,2,2,1,1,1,,2.8776491999997234
23,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c3_n3,stimulus_o2_b3_c2_n2,left,2,2,2,3,3,2,3,2,,3.2760043999996924
24,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c1_n3,stimulus_o2_b3_c1_n2,right,2,2,2,3,1,1,3,2,,1.3771636000001308
25,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c1_n2,stimulus_o1_b3_c2_n3,left,1,1,3,3,1,2,2,3,,2.7149408999994193
26,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c3_n1,right,2,2,2,2,2,3,3,1,,2.4476735000007466
27,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b2_c1_n2,stimulus_o2_b3_c2_n2,left,1,2,2,3,1,2,2,2,,3.1746503999993365
28,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c1_n3,left,1,2,3,3,2,1,2,3,,3.79267179999988
29,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c3_n3,stimulus_o2_b3_c1_n1,right,1,2,3,3,3,1,3,1,,1.6574253999997381
30,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c3_n2,stimulus_o2_b2_c3_n1,right,2,2,1,2,3,3,2,1,,1.728710499999579
31,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c1_n2,stimulus_o2_b2_c3_n3,left,1,2,3,2,1,3,2,3,,2.0848155000003317
32,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c2_n1,stimulus_o2_b2_c3_n3,left,2,2,1,2,2,3,1,3,,3.611677800000507
33,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c2_n3,stimulus_o2_b3_c2_n3,right,2,2,1,3,2,2,3,3,,2.9871400000001813
34,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n1,stimulus_o1_b2_c2_n1,left,1,1,1,2,1,2,1,1,,1.1239760999997088
35,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n1,stimulus_o1_b2_c1_n3,left,1,1,1,2,1,1,1,3,,1.1857074999998076
36,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c1_n1,stimulus_o2_b1_c3_n1,left,2,2,1,1,1,3,1,1,,1.4285200000003897
37,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c2_n2,stimulus_o2_b2_c1_n3,left,2,2,1,2,2,1,2,3,,1.8605797000000166
38,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c1_n1,stimulus_o2_b3_c2_n3,left,2,2,1,3,1,2,1,3,,1.3478792999994766
39,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n2,stimulus_o2_b1_c1_n1,right,1,2,1,1,1,1,2,1,,4.504189999999653
40,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c3_n3,left,1,1,1,1,2,3,2,3,,2.6035446000005322
41,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c1_n2,stimulus_o2_b1_c2_n1,left,2,2,1,1,1,2,2,1,,2.1246372000005067
42,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n3,stimulus_o1_b2_c2_n1,left,1,1,1,2,1,2,3,1,,1.4085861000003206
43,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c1_n2,stimulus_o2_b2_c1_n1,right,2,2,1,2,1,1,2,1,,1.5143244000000777
44,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c3_n1,stimulus_o2_b2_c1_n1,right,1,2,1,2,3,1,1,1,,1.7680593000004592
45,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c2_n2,stimulus_o2_b3_c1_n3,left,2,2,2,3,2,1,2,3,,2.1542690000005678
46,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n1,stimulus_o2_b2_c2_n1,left,1,2,1,2,1,2,1,1,,1.3579670999997688
47,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b2_c3_n1,stimulus_o2_b2_c2_n3,left,1,2,2,2,3,2,1,3,,1.6261457999999038
48,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b2_c3_n1,stimulus_o2_b2_c3_n3,left,2,2,2,2,3,3,1,3,,1.1379328000002715
49,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n2,stimulus_o2_b1_c2_n2,left,1,2,1,1,1,2,2,2,,1.415642800000569
50,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c3_n3,stimulus_o2_b2_c1_n1,right,1,2,3,2,3,1,3,1,,1.3050340999998298
51,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c3_n3,stimulus_o2_b1_c2_n3,left,1,2,3,1,3,2,3,3,,2.1110054000000673
52,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b3_c1_n1,stimulus_o2_b3_c2_n2,left,2,2,3,3,1,2,1,2,,1.2995442999999796
53,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c3_n3,stimulus_o2_b2_c2_n1,right,2,2,1,2,3,2,3,1,,2.2495237000002817
54,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c2_n3,stimulus_o2_b1_c3_n2,right,1,2,1,1,2,3,3,2,,1.599700899999334
55,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c1_n3,stimulus_o2_b1_c2_n3,left,1,2,3,1,1,2,3,3,,1.4416706000001795
56,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c1_n1,stimulus_o1_b1_c3_n1,left,1,1,1,1,1,3,1,1,,0.8990002999998978
57,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b3_c3_n3,stimulus_o2_b3_c1_n2,right,1,2,3,3,3,1,3,2,,3.153354899999613
58,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b2_c1_n3,stimulus_o2_b3_c3_n3,right,1,2,2,3,1,3,3,3,,4.523986999999579
59,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o2_b1_c3_n1,stimulus_o2_b3_c2_n1,right,2,2,1,3,3,2,1,1,,2.125355400000444
60,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b1_c2_n3,stimulus_o2_b1_c3_n1,right,1,2,1,1,2,3,3,1,,2.242613899999924
61,2021_Oct_27_0820,002,26,male,vietnamese,stimulus_o1_b2_c1_n2,stimulus_o1_b3_c1_n2,left,1,1,2,3,1,1,2,2,,3.737844700000096
