,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o1_b3_c1_n1,right,1,1,1,3,3,1,2,1,,2.703897700000198
1,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o2_b1_c1_n3,left,1,2,2,1,2,1,2,3,,2.0182795999999144
2,2021_Nov_11_0820,038,24,male,Danish,stimulus_o2_b1_c2_n2,stimulus_o2_b3_c2_n1,right,2,2,1,3,2,2,2,1,,2.619073199999548
3,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c3_n3,right,1,2,3,3,2,3,2,3,,2.914441099999749
4,2021_Nov_11_0820,038,24,male,Danish,stimulus_o2_b2_c2_n1,stimulus_o2_b3_c3_n1,left,2,2,2,3,2,3,1,1,,0.9106826999995974
5,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b2_c1_n3,stimulus_o1_b3_c1_n2,right,1,1,2,3,1,1,3,2,,1.0684150999995836
6,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b1_c1_n3,stimulus_o1_b1_c2_n1,left,1,1,1,1,1,2,3,1,,2.7797670999998445
7,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b3_c2_n1,stimulus_o2_b3_c3_n1,left,1,2,3,3,2,3,1,1,,2.3336634000006597
8,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b1_c3_n3,stimulus_o2_b2_c2_n3,right,1,2,1,2,3,2,3,3,,1.673442100000102
9,2021_Nov_11_0820,038,24,male,Danish,stimulus_o2_b3_c2_n3,stimulus_o2_b3_c3_n2,right,2,2,3,3,2,3,3,2,,3.704476699999759
10,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b2_c1_n1,stimulus_o2_b3_c1_n3,left,1,2,2,3,1,1,1,3,,1.0357567999999446
11,2021_Nov_11_0820,038,24,male,Danish,stimulus_o2_b1_c1_n3,stimulus_o2_b3_c3_n1,left,2,2,1,3,1,3,3,1,,1.4679371999991417
12,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o2_b2_c2_n3,right,1,2,2,2,2,2,2,3,,1.5640978999999788
13,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b1_c2_n2,stimulus_o2_b1_c2_n3,right,1,2,1,1,2,2,2,3,,1.254985300000044
14,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b2_c1_n2,stimulus_o2_b2_c1_n1,left,1,2,2,2,1,1,2,1,,0.7190445999995063
15,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b1_c2_n1,stimulus_o2_b2_c1_n3,right,1,2,1,2,2,1,1,3,,1.0441994000002524
16,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b3_c3_n2,stimulus_o2_b2_c2_n2,right,1,2,3,2,3,2,2,2,,0.9408770999998524
17,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b2_c2_n1,stimulus_o2_b2_c3_n3,left,1,2,2,2,2,3,1,3,,0.8742841000002954
18,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b2_c1_n1,stimulus_o2_b3_c3_n1,left,1,2,2,3,1,3,1,1,,0.7298613000002661
19,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b3_c2_n3,stimulus_o2_b3_c1_n3,right,1,2,3,3,2,1,3,3,,0.9428545999999187
20,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o1_b3_c2_n3,right,1,1,1,3,3,2,2,3,,0.9559094000005643
21,2021_Nov_11_0820,038,24,male,Danish,stimulus_o1_b1_c1_n2,stimulus_o2_b3_c2_n2,left,1,2,1,3,1,2,2,2,,0.6800493000000642
22,2021_Nov_11_0820,038,24,male,Danish,stimulus_o2_b1_c3_n3,stimulus_o2_b3_c2_n2,right,2,2,1,3,3,2,3,2,,1.1272640999995929
