,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n3,stimulus_o1_b3_c3_n3,left,1,1,1,3,1,3,3,3,,2.631933599999684
1,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o2_b2_c3_n2,right,1,2,2,2,2,3,2,2,,5.2659018999984255
2,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c2_n2,stimulus_o1_b1_c3_n3,left,1,1,1,1,2,3,2,3,,5.342887599999813
3,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c2_n1,stimulus_o2_b1_c1_n1,right,1,2,1,1,2,1,1,1,,4.671873600000254
4,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b1_c1_n2,stimulus_o2_b3_c2_n3,left,2,2,1,3,1,2,2,3,,4.948285399999804
5,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b1_c2_n1,stimulus_o2_b1_c2_n2,left,2,2,1,1,2,2,1,2,,6.005711800000427
6,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b3_c2_n3,stimulus_o2_b3_c1_n1,right,1,2,3,3,2,1,3,1,,5.010538900000029
7,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c1_n2,stimulus_o2_b1_c2_n2,right,1,2,2,1,1,2,2,2,,3.937302999998792
8,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c1_n2,stimulus_o1_b3_c1_n1,right,1,1,2,3,1,1,2,1,,3.804378299999371
9,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o2_b3_c1_n3,left,1,2,1,3,1,1,1,3,,4.259806300000491
10,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c2_n3,stimulus_o2_b3_c1_n1,right,1,2,2,3,2,1,3,1,,5.4012139000005845
11,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b3_c2_n1,stimulus_o2_b3_c2_n2,left,2,2,3,3,2,2,1,2,,6.888313399998879
12,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c2_n2,stimulus_o2_b2_c1_n3,right,1,2,1,2,2,1,2,3,,6.770046800000273
13,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b1_c1_n1,stimulus_o2_b3_c1_n2,left,2,2,1,3,1,1,1,2,,4.504842199999985
14,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b1_c1_n2,stimulus_o2_b2_c1_n1,right,2,2,1,2,1,1,2,1,,5.204049900001337
15,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o1_b3_c1_n3,right,1,1,2,3,2,1,2,3,,8.002058500000203
16,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n2,stimulus_o2_b1_c2_n2,left,1,2,1,1,1,2,2,2,,4.030777300000409
17,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b3_c3_n3,stimulus_o2_b2_c2_n1,right,1,2,3,2,3,2,3,1,,3.3961080000008224
18,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b3_c1_n1,stimulus_o2_b2_c1_n1,right,1,2,3,2,1,1,1,1,,12.188960199999201
19,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c3_n1,stimulus_o2_b2_c1_n1,right,1,2,1,2,3,1,1,1,,5.422074600000997
20,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n2,stimulus_o1_b3_c1_n2,right,1,1,1,3,1,1,2,2,,12.82786379999925
21,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o2_b2_c2_n2,left,1,2,1,2,1,2,1,2,,9.587555399999474
22,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b1_c1_n2,stimulus_o2_b1_c2_n1,right,2,2,1,1,1,2,2,1,,1.9194225000010192
23,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c3_n1,stimulus_o1_b2_c3_n3,left,1,1,1,2,3,3,1,3,,5.9482576999998855
24,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n2,stimulus_o2_b2_c3_n2,left,1,2,1,2,1,3,2,2,,8.331157599999642
25,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c3_n3,stimulus_o1_b2_c1_n1,right,1,1,1,2,3,1,3,1,,8.995069299999159
26,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c2_n3,stimulus_o2_b2_c1_n2,right,1,2,1,2,2,1,3,2,,3.6702855999992607
27,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b2_c2_n2,stimulus_o2_b3_c1_n1,right,2,2,2,3,2,1,2,1,,2.8529042999998637
28,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b3_c2_n2,stimulus_o2_b3_c2_n3,left,2,2,3,3,2,2,2,3,,6.443432799998845
29,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o2_b3_c1_n1,right,1,2,1,3,3,1,2,1,,4.191501499999504
30,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o1_b1_c3_n3,right,1,1,1,1,3,3,2,3,,12.263680199999726
31,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o1_b3_c3_n1,right,1,1,2,3,2,3,2,1,,4.718472599999586
32,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b3_c1_n1,stimulus_o2_b2_c3_n2,left,1,2,3,2,1,3,1,2,,5.776752199999464
33,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o2_b2_c1_n1,right,1,2,1,2,1,1,1,1,,7.5121973999994225
34,2021_Nov_02_1113,025,29,male,Danish,stimulus_o2_b2_c2_n2,stimulus_o2_b2_c3_n1,right,2,2,2,2,2,3,2,1,,9.71273359999941
35,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b3_c3_n2,stimulus_o2_b3_c2_n1,right,1,2,3,3,3,2,2,1,,3.1678855000009207
36,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o1_b3_c1_n3,left,1,1,1,3,1,1,1,3,,5.249411199998576
37,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o2_b2_c1_n2,right,1,2,2,2,2,1,2,2,,11.101713800000653
38,2021_Nov_02_1113,025,29,male,Danish,stimulus_o1_b2_c2_n3,stimulus_o1_b3_c2_n1,right,1,1,2,3,2,2,3,1,,6.339046399998551
