,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n1,stimulus_o2_b1_c3_n3,left,2,2,1,1,3,3,1,3,,12.295892599999206
1,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n3,stimulus_o2_b2_c2_n1,left,2,2,1,2,3,2,3,1,,5.413183999997273
2,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n3,stimulus_o2_b1_c2_n2,left,1,2,1,1,1,2,3,2,,2.89931699999579
3,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c3_n3,stimulus_o1_b2_c3_n3,right,1,1,1,2,3,3,3,3,,16.335702699994727
4,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n1,stimulus_o2_b2_c1_n3,left,1,2,2,2,1,1,1,3,,3.1441885999956867
5,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c2_n1,stimulus_o2_b3_c3_n2,left,1,2,2,3,2,3,1,2,,7.819429199997103
6,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b2_c2_n1,stimulus_o2_b3_c1_n1,right,2,2,2,3,2,1,1,1,,2.031224199999997
7,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n1,stimulus_o1_b3_c2_n3,right,1,1,2,3,3,2,1,3,,3.830967599998985
8,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c2_n3,stimulus_o2_b2_c1_n1,right,2,2,1,2,2,1,3,1,,1.645717200000945
9,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n3,stimulus_o2_b2_c3_n1,right,2,2,1,2,3,3,3,1,,2.941701700001431
10,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c3_n3,stimulus_o2_b3_c1_n3,right,1,2,3,3,3,1,3,3,,3.512764099999913
11,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n1,stimulus_o2_b1_c3_n1,right,1,2,2,1,3,3,1,1,,7.156768500004546
12,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b3_c1_n1,stimulus_o2_b3_c2_n1,left,2,2,3,3,1,2,1,1,,1.867745700001251
13,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n1,stimulus_o2_b2_c1_n3,left,1,2,3,2,1,1,1,3,,1.7459840000010445
14,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b2_c1_n1,stimulus_o2_b2_c1_n3,left,2,2,2,2,1,1,1,3,,1.7499956999963615
15,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c3_n2,stimulus_o1_b1_c3_n3,left,1,1,1,1,3,3,2,3,,5.44019919999846
16,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n3,stimulus_o2_b3_c1_n2,right,2,2,1,3,3,1,3,2,,3.758684100001119
17,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n2,stimulus_o2_b1_c3_n1,right,1,2,2,1,3,3,2,1,,2.584279200003948
18,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c1_n3,stimulus_o2_b2_c1_n1,right,2,2,1,2,1,1,3,1,,2.1061695000025793
19,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n2,stimulus_o2_b2_c2_n3,left,1,2,3,2,1,2,2,3,,1.5433162999979686
20,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n1,stimulus_o2_b3_c1_n3,right,2,2,1,3,3,1,1,3,,2.427755700002308
21,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b2_c1_n1,stimulus_o2_b2_c1_n2,left,2,2,2,2,1,1,1,2,,2.6276431000005687
22,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c3_n2,stimulus_o2_b2_c2_n3,left,1,2,3,2,3,2,2,3,,7.884334700000181
23,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n2,stimulus_o2_b3_c1_n3,left,1,2,2,3,3,1,2,3,,3.821080300003814
24,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c3_n1,left,1,1,1,1,2,3,1,1,,1.8523073000033037
25,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c2_n2,stimulus_o1_b3_c3_n2,left,1,1,3,3,2,3,2,2,,4.5393448999966495
26,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c1_n3,left,1,2,3,3,2,1,2,3,,7.981775400003244
27,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n2,stimulus_o1_b2_c1_n1,left,1,1,1,2,1,1,2,1,,6.450673499995901
28,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c2_n3,stimulus_o2_b3_c2_n2,right,1,2,2,3,2,2,3,2,,5.894159800001944
29,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n1,stimulus_o1_b3_c1_n2,right,1,1,1,3,1,1,1,2,,6.065353199999663
30,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n1,stimulus_o2_b2_c2_n2,left,1,2,1,2,1,2,1,2,,1.4929204000000027
31,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n3,stimulus_o2_b1_c3_n3,left,1,2,2,1,1,3,3,3,,2.8431968000004417
32,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c2_n2,stimulus_o1_b3_c2_n1,right,1,1,1,3,2,2,2,1,,3.818605500004196
33,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n2,stimulus_o2_b3_c1_n1,right,1,2,2,3,3,1,2,1,,4.753910999999789
34,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n1,stimulus_o2_b2_c2_n2,left,1,2,3,2,1,2,1,2,,1.1863649000006262
35,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n2,stimulus_o2_b2_c2_n1,left,1,2,3,2,1,2,2,1,,1.4052041999966605
36,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n3,stimulus_o2_b2_c3_n1,right,1,2,2,2,1,3,3,1,,2.8071509000001242
37,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n1,stimulus_o1_b2_c3_n3,left,1,1,2,2,1,3,1,3,,2.1840653000035672
38,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c1_n2,stimulus_o2_b2_c2_n1,right,2,2,1,2,1,2,2,1,,6.416195600002538
39,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n3,stimulus_o1_b3_c3_n3,right,1,1,3,3,1,3,3,3,,6.7587171999985
40,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n2,stimulus_o1_b1_c3_n2,left,1,1,1,1,1,3,2,2,,1.8224056999970344
41,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n2,stimulus_o1_b2_c3_n2,left,1,1,1,2,1,3,2,2,,1.726364599999215
42,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n3,stimulus_o1_b3_c2_n3,right,1,1,2,3,3,2,3,3,,2.5160427000009804
43,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n1,stimulus_o2_b1_c2_n2,left,1,2,2,1,1,2,1,2,,2.3590102000016486
44,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n2,stimulus_o2_b2_c1_n3,left,1,2,3,2,1,1,2,3,,10.370993500000623
45,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n2,stimulus_o2_b2_c3_n2,right,2,2,1,2,3,3,2,2,,11.550134400000388
46,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c1_n3,stimulus_o2_b2_c3_n1,right,2,2,1,2,1,3,3,1,,2.1305741000032867
47,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n3,stimulus_o2_b1_c1_n3,left,1,2,2,1,1,1,3,3,,13.678742900003272
48,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n3,stimulus_o2_b1_c1_n2,right,1,2,3,1,1,1,3,2,,3.210188899996865
49,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n3,stimulus_o2_b3_c3_n3,right,2,2,1,3,3,3,3,3,,4.379278699998395
50,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n3,stimulus_o2_b1_c2_n1,right,1,2,2,1,1,2,3,1,,1.4837198000022909
51,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c3_n2,stimulus_o1_b2_c2_n1,right,1,1,1,2,3,2,2,1,,1.4008619000014733
52,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b2_c1_n3,stimulus_o2_b3_c3_n2,right,2,2,2,3,1,3,3,2,,1.2991024000002653
53,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c2_n3,stimulus_o2_b1_c1_n2,right,1,2,2,1,2,1,3,2,,1.9616412000032142
54,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n1,stimulus_o2_b3_c2_n1,right,2,2,1,3,3,2,1,1,,2.0604385000042384
55,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n1,stimulus_o2_b3_c1_n1,right,1,2,1,3,1,1,1,1,,14.44285829999717
56,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c3_n2,stimulus_o2_b1_c1_n2,right,1,2,1,1,3,1,2,2,,2.6489175999959116
57,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n2,stimulus_o2_b2_c1_n3,left,2,2,1,2,3,1,2,3,,6.423595100000966
58,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n1,stimulus_o2_b2_c3_n2,left,2,2,1,2,3,3,1,2,,17.53252269999939
59,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c2_n3,stimulus_o1_b3_c3_n3,right,1,1,1,3,2,3,3,3,,1.3088898999994854
60,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b2_c3_n2,stimulus_o2_b3_c3_n3,left,2,2,2,3,3,3,2,3,,1.3862557000029483
61,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c2_n3,stimulus_o2_b2_c2_n3,right,1,2,1,2,2,2,3,3,,3.100815899997542
62,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n3,stimulus_o2_b1_c3_n2,right,1,2,2,1,3,3,3,2,,1.8653370999963954
63,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n1,stimulus_o1_b3_c3_n1,left,1,1,2,3,3,3,1,1,,2.9677939000030165
64,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n2,stimulus_o1_b3_c1_n2,right,1,1,2,3,1,1,2,2,,1.1465551000001142
65,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n3,stimulus_o2_b3_c2_n2,right,1,2,1,3,1,2,3,2,,1.5181048000013107
66,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c2_n2,stimulus_o1_b2_c1_n2,right,1,1,1,2,2,1,2,2,,3.595596999999543
67,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n1,stimulus_o2_b1_c3_n2,left,1,2,3,1,1,3,1,2,,3.4996559000064735
68,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n2,stimulus_o2_b3_c3_n3,left,1,2,3,3,1,3,2,3,,3.8241771000029985
69,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n2,stimulus_o2_b3_c1_n2,right,1,2,2,3,1,1,2,2,,2.567929200005892
70,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b2_c3_n1,stimulus_o2_b3_c3_n1,right,2,2,2,3,3,3,1,1,,1.749065399999381
71,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n2,stimulus_o1_b2_c3_n3,left,1,1,2,2,3,3,2,3,,1.5049889000001713
72,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n1,stimulus_o2_b1_c3_n3,left,1,2,2,1,1,3,1,3,,1.3498613999981899
73,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c2_n3,stimulus_o2_b1_c2_n1,right,1,2,2,1,2,2,3,1,,1.1545941999938805
74,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n2,stimulus_o2_b2_c1_n1,right,1,2,1,2,1,1,2,1,,4.2222469999978784
75,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c2_n3,stimulus_o1_b3_c3_n2,right,1,1,3,3,2,3,3,2,,1.5649918999988586
76,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n3,stimulus_o2_b1_c1_n2,right,1,2,2,1,1,1,3,2,,1.776165499999479
77,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c3_n1,stimulus_o2_b1_c2_n1,left,1,2,3,1,3,2,1,1,,1.9314350999993621
78,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c3_n3,stimulus_o1_b2_c2_n2,right,1,1,1,2,3,2,3,2,,1.431102300004568
79,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n1,stimulus_o2_b2_c3_n1,left,1,2,3,2,1,3,1,1,,2.487814200001594
80,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n3,stimulus_o1_b2_c2_n1,right,1,1,2,2,1,2,3,1,,1.1816544999965117
81,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c3_n2,stimulus_o2_b3_c3_n2,right,2,2,1,3,3,3,2,2,,1.8791803999993135
82,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c1_n3,stimulus_o2_b2_c1_n1,right,1,2,2,2,1,1,3,1,,1.0211892000006628
83,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c2_n1,stimulus_o2_b3_c2_n3,left,1,2,3,3,2,2,1,3,,1.2866986999943038
84,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c2_n3,stimulus_o2_b3_c3_n2,right,1,2,1,3,2,3,3,2,,2.3722945000045
85,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c1_n2,stimulus_o2_b2_c2_n2,right,2,2,1,2,1,2,2,2,,2.3832754000031855
86,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n2,stimulus_o2_b3_c3_n2,left,1,2,2,3,3,3,2,2,,3.4323566000020946
87,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c2_n3,left,1,2,3,3,2,2,2,3,,1.4880765999987489
88,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n1,stimulus_o1_b3_c2_n1,right,1,1,3,3,1,2,1,1,,7.550348600001598
89,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n2,stimulus_o2_b2_c1_n2,left,1,2,1,2,1,1,2,2,,2.580204200006847
90,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n2,stimulus_o2_b3_c2_n1,left,1,2,2,3,3,2,2,1,,2.1748004000037326
91,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c2_n2,stimulus_o2_b3_c1_n1,left,1,2,2,3,2,1,2,1,,1.7530359999946086
92,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c1_n3,stimulus_o1_b1_c3_n3,left,1,1,1,1,1,3,3,3,,3.261219700005313
93,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c1_n2,stimulus_o2_b2_c3_n3,left,1,2,3,2,1,3,2,3,,1.1865577999997186
94,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n1,stimulus_o2_b2_c2_n2,right,1,2,2,2,3,2,1,2,,5.718076900004235
95,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b2_c3_n2,stimulus_o2_b1_c2_n1,right,1,2,2,1,3,2,2,1,,3.374382100002549
96,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b3_c2_n3,stimulus_o2_b3_c2_n2,right,1,2,3,3,2,2,3,2,,2.4171223000012105
97,2021_Nov_02_1609,030,26,male,Greek,stimulus_o2_b1_c1_n1,stimulus_o2_b2_c1_n2,left,2,2,1,2,1,1,1,2,,3.5290053999997326
98,2021_Nov_02_1609,030,26,male,Greek,stimulus_o1_b1_c3_n2,stimulus_o2_b2_c1_n3,left,1,2,1,2,3,1,2,3,,2.316921799996635
