,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c1_n3,stimulus_o1_b2_c3_n1,right,1,1,1,2,1,3,3,1,,1.1839058000000477
1,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b1_c2_n2,stimulus_o2_b1_c2_n3,left,2,2,1,1,2,2,2,3,,1.6258037000000058
2,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c1_n1,stimulus_o2_b3_c3_n3,left,1,2,3,3,1,3,1,3,,1.8027087000000392
3,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b1_c2_n3,stimulus_o2_b2_c2_n1,right,2,2,1,2,2,2,3,1,,1.4365248999999949
4,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c1_n1,stimulus_o1_b3_c3_n1,right,1,1,2,3,1,3,1,1,,1.445227199999863
5,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c3_n3,stimulus_o1_b2_c2_n2,right,1,1,1,2,3,2,3,2,,1.64466369999991
6,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b2_c2_n3,stimulus_o2_b3_c3_n3,left,2,2,2,3,2,3,3,3,,1.5570278999998663
7,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c1_n3,stimulus_o2_b1_c2_n3,right,1,2,1,1,1,2,3,3,,1.512365599999839
8,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c1_n2,stimulus_o1_b2_c2_n3,left,1,1,1,2,1,2,2,3,,1.6446874000000662
9,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c2_n3,stimulus_o1_b3_c2_n3,right,1,1,1,3,2,2,3,3,,1.5008101999999326
10,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c1_n3,stimulus_o2_b1_c3_n3,left,1,2,3,1,1,3,3,3,,1.8829936999998154
11,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c1_n2,stimulus_o1_b3_c2_n3,left,1,1,2,3,1,2,2,3,,1.6887592999999015
12,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c2_n1,stimulus_o1_b2_c3_n1,right,1,1,1,2,2,3,1,1,,1.5993969999999536
13,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o2_b3_c3_n1,right,1,2,1,3,1,3,1,1,,1.3448123000000578
14,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b2_c3_n2,stimulus_o2_b3_c1_n2,left,2,2,2,3,3,1,2,2,,1.4049443999999767
15,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c2_n3,stimulus_o2_b2_c2_n1,right,1,2,1,2,2,2,3,1,,1.3188724999999977
16,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c3_n3,stimulus_o2_b3_c1_n3,left,1,2,1,3,3,1,3,3,,1.3881245000000035
17,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c2_n1,stimulus_o2_b2_c2_n3,left,1,2,3,2,2,2,1,3,,1.3417980000001535
18,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o1_b3_c1_n2,left,1,1,1,3,3,1,2,2,,1.4189779999999246
19,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c3_n3,left,1,2,3,3,2,3,2,3,,1.467514200000096
20,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c1_n3,stimulus_o2_b1_c1_n2,right,1,2,3,1,1,1,3,2,,1.715438999999833
21,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c3_n2,stimulus_o2_b2_c1_n2,left,1,2,3,2,3,1,2,2,,1.0405981999999767
22,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b1_c2_n3,stimulus_o2_b2_c3_n3,left,2,2,1,2,2,3,3,3,,1.8972771000001103
23,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b1_c2_n3,stimulus_o2_b1_c3_n3,right,2,2,1,1,2,3,3,3,,1.358730899999955
24,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c1_n1,stimulus_o1_b2_c1_n2,left,1,1,2,2,1,1,1,2,,2.002794200000153
25,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c2_n3,stimulus_o1_b3_c1_n1,right,1,1,1,3,2,1,3,1,,2.467550099999926
26,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o2_b1_c2_n2,right,1,2,2,1,2,2,2,2,,1.9541528999998263
27,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c1_n2,stimulus_o1_b3_c3_n1,right,1,1,2,3,1,3,2,1,,1.221356300000025
28,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b1_c3_n1,stimulus_o2_b1_c3_n2,right,2,2,1,1,3,3,1,2,,2.1180556000001616
29,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b1_c1_n1,stimulus_o2_b1_c1_n2,right,2,2,1,1,1,1,1,2,,1.3157320000000254
30,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c1_n2,stimulus_o1_b3_c2_n3,left,1,1,1,3,1,2,2,3,,1.6719697999999426
31,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o2_b3_c1_n3,right,1,2,1,3,3,1,2,3,,1.735575400000016
32,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o2_b2_c2_n2,right,1,2,1,2,3,2,2,2,,1.3236535999999433
33,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c2_n3,left,1,2,3,3,2,2,2,3,,1.74544109999988
34,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c3_n1,stimulus_o2_b1_c1_n3,left,1,2,3,1,3,1,1,3,,1.3488311999999496
35,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c2_n2,stimulus_o2_b1_c2_n1,right,1,2,1,1,2,2,2,1,,1.3052075000000514
36,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c3_n3,stimulus_o2_b3_c1_n2,right,1,2,1,3,3,1,3,2,,1.7658721000000241
37,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c1_n1,stimulus_o1_b3_c1_n2,left,1,1,2,3,1,1,1,2,,1.4819816000001538
38,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b3_c2_n2,stimulus_o1_b3_c2_n3,left,1,1,3,3,2,2,2,3,,1.5124914000000445
39,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c1_n3,stimulus_o2_b2_c2_n1,right,1,2,2,2,1,2,3,1,,1.2052946999999676
40,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c2_n2,stimulus_o2_b2_c3_n1,right,1,2,1,2,2,3,2,1,,1.5035523999999896
41,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b1_c2_n1,stimulus_o2_b2_c1_n1,left,2,2,1,2,2,1,1,1,,1.9732140999999501
42,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b2_c2_n3,stimulus_o2_b3_c2_n2,right,1,2,2,3,2,2,3,2,,1.32762270000012
43,2021_Oct_28_1517,008,66,male,Danish,stimulus_o1_b1_c2_n1,stimulus_o2_b2_c2_n2,right,1,2,1,2,2,2,1,2,,1.6522436000000198
44,2021_Oct_28_1517,008,66,male,Danish,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c3_n1,right,2,2,2,2,2,3,1,1,,1.9390697999999702
