,TimeStamp,ID,Age,Gender,Language,StimulusL,StimulusR,Response,OrientationL,OrientationR,BlankSpaceL,BlankSpaceR,ComplexityL,ComplexityR,NoiseL,NoiseR,Reaction_time,reaction_time
0,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b3_c2_n1,stimulus_o2_b2_c1_n1,left,1,2,3,2,2,1,1,1,,8.047977499998524
1,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c1_n3,stimulus_o2_b1_c1_n3,right,1,2,1,1,1,1,3,3,,2.183327000000645
2,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o2_b3_c2_n1,left,1,2,2,3,2,2,2,1,,2.0565272999992885
3,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b1_c3_n3,stimulus_o2_b3_c1_n3,left,2,2,1,3,3,1,3,3,,2.4318942000008974
4,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c3_n3,stimulus_o1_b2_c1_n3,right,1,1,1,2,3,1,3,3,,1.8318018000009033
5,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b3_c2_n2,stimulus_o2_b3_c3_n2,left,1,2,3,3,2,3,2,2,,2.2881570999998075
6,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c3_n2,stimulus_o2_b2_c1_n3,left,1,2,2,2,3,1,2,3,,2.253026399999726
7,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b1_c1_n3,stimulus_o2_b2_c1_n2,left,2,2,1,2,1,1,3,2,,3.1164300000000367
8,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c2_n1,stimulus_o1_b2_c2_n2,left,1,1,2,2,2,2,1,2,,19.280634400000054
9,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o2_b3_c1_n1,right,1,2,1,3,1,1,1,1,,2.3362243000010494
10,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b1_c3_n3,stimulus_o2_b3_c3_n1,right,2,2,1,3,3,3,3,1,,7.347957800000586
11,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n3,left,2,2,2,2,2,2,1,3,,6.635141900000235
12,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c2_n1,stimulus_o1_b2_c3_n2,right,1,1,2,2,2,3,1,2,,1.2241931999997178
13,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b3_c3_n1,stimulus_o2_b2_c3_n3,right,1,2,3,2,3,3,1,3,,8.0008385000001
14,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c2_n2,stimulus_o2_b3_c1_n1,left,1,2,1,3,2,1,2,1,,1.989681200000632
15,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c2_n1,stimulus_o2_b1_c3_n3,left,1,2,1,1,2,3,1,3,,2.7754717000007076
16,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c3_n2,stimulus_o1_b2_c2_n2,right,1,1,1,2,3,2,2,2,,7.537518200000704
17,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b1_c2_n2,stimulus_o2_b1_c3_n1,left,2,2,1,1,2,3,2,1,,3.952230700000655
18,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b3_c2_n2,stimulus_o1_b3_c3_n2,left,1,1,3,3,2,3,2,2,,1.7377465999998094
19,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o1_b2_c2_n2,right,1,1,1,2,1,2,1,2,,2.910635500000353
20,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b1_c3_n1,stimulus_o2_b2_c1_n1,right,2,2,1,2,3,1,1,1,,1.626774700000169
21,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c2_n1,stimulus_o1_b3_c1_n2,left,1,1,2,3,2,1,1,2,,1.6677587000012863
22,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c1_n3,stimulus_o2_b2_c2_n3,left,1,2,2,2,1,2,3,3,,6.003126899999188
23,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c2_n3,stimulus_o1_b2_c3_n1,left,1,1,2,2,2,3,3,1,,3.928660300000047
24,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b3_c2_n1,stimulus_o1_b3_c3_n3,left,1,1,3,3,2,3,1,3,,4.995235099999263
25,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c1_n3,stimulus_o1_b3_c2_n1,right,1,1,1,3,1,2,3,1,,5.282289500000843
26,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c2_n3,stimulus_o2_b3_c3_n1,right,1,2,2,3,2,3,3,1,,2.510182799998802
27,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c1_n1,stimulus_o2_b1_c3_n3,left,1,2,1,1,1,3,1,3,,1.6354451999995945
28,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c2_n2,stimulus_o1_b3_c2_n2,right,1,1,2,3,2,2,2,2,,10.131226400000742
29,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b2_c3_n2,stimulus_o2_b3_c1_n2,right,2,2,2,3,3,1,2,2,,2.664524199999505
30,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b3_c1_n3,stimulus_o2_b1_c1_n1,right,1,2,3,1,1,1,3,1,,6.416120400001091
31,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b1_c2_n3,stimulus_o2_b3_c3_n2,right,1,2,1,3,2,3,3,2,,2.812737999998717
32,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b2_c1_n1,stimulus_o2_b2_c1_n2,left,2,2,2,2,1,1,1,2,,5.340856400000121
33,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b3_c1_n1,stimulus_o2_b3_c1_n2,right,1,2,3,3,1,1,1,2,,1.181855999999243
34,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b1_c3_n1,stimulus_o2_b3_c3_n3,left,2,2,1,3,3,3,1,3,,2.368513299999904
35,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b2_c3_n2,stimulus_o2_b3_c3_n2,left,2,2,2,3,3,3,2,2,,2.9702572999995027
36,2021_Nov_11_0916,039,25,male,Danish,stimulus_o1_b2_c3_n2,stimulus_o2_b1_c2_n2,right,1,2,2,1,3,2,2,2,,3.308860699999059
37,2021_Nov_11_0916,039,25,male,Danish,stimulus_o2_b3_c2_n1,stimulus_o2_b3_c2_n2,left,2,2,3,3,2,2,1,2,,7.433007800000269
