,ID,drawing,copy,time,SSIM,MSE
34,042,stimulus_o1_b3_c3_n3,stimulus_o1_b3_c3_n3_042_2021_Nov_22_1128,2021_Nov_22_1128,0.5547745936961347,10601.96783121597
35,016,stimulus_o1_b3_c3_n3,stimulus_o1_b3_c3_n3_016_2021_Oct_29_1124,2021_Oct_29_1124,0.5184191023935952,11400.614426497277
36,014,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_014_2021_Oct_29_0932,2021_Oct_29_0932,0.6812972265586407,7235.644078039927
37,010,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_010_2021_Oct_28_1721,2021_Oct_28_1721,0.6296886634316232,8200.89084936479
38,003,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_003_2021_Oct_27_0914,2021_Oct_27_0914,0.629385644449189,8250.075121597096
39,032,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_032_2021_Nov_08_0822,2021_Nov_08_0822,0.6101839071519752,8713.903805807622
40,011,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_011_2021_Oct_28_1845,2021_Oct_28_1845,0.6457978413128793,8222.239871143376
41,002,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_002_2021_Oct_27_0840,2021_Oct_27_0840,0.6207046531625274,8515.213626134302
42,034,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_034_2021_Nov_09_1331,2021_Nov_09_1331,0.6092009198074352,9004.45463520871
43,038,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_038_2021_Nov_11_0832,2021_Nov_11_0832,0.6351402755846772,8264.914564428313
44,028,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_028_2021_Nov_02_1426,2021_Nov_02_1426,0.6518973092494904,7697.066038112523
45,020,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_020_2021_Nov_01_0834,2021_Nov_01_0834,0.6059349841735329,8906.211535390199
46,031,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_031_2021_Nov_08_0728,2021_Nov_08_0728,0.46819938942761263,12395.737620689655
47,016,stimulus_o1_b1_c2_n1,stimulus_o1_b1_c2_n1_016_2021_Oct_29_1124,2021_Oct_29_1124,0.6214242203046815,8533.527747731398
48,029,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_029_2021_Nov_02_1520,2021_Nov_02_1520,0.5821487286260618,9260.21847368421
49,018,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_018_2021_Oct_29_1330,2021_Oct_29_1330,0.5572072258434455,9212.815747731398
50,016,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_016_2021_Oct_29_1124,2021_Oct_29_1124,0.4903916602257396,11247.20291107078
51,036,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_036_2021_Nov_09_1515,2021_Nov_09_1515,0.5290753792380093,9943.139025408349
52,007,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_007_2021_Oct_27_1323,2021_Oct_27_1323,0.5300720939504462,10578.073362976407
53,019,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_019_2021_Nov_01_0723,2021_Nov_01_0723,0.5112697560827344,10395.617569872958
54,014,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_014_2021_Oct_29_0932,2021_Oct_29_0932,0.510803784453705,10676.528145190563
55,010,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_010_2021_Oct_28_1721,2021_Oct_28_1721,0.5007297186989329,10669.778818511797
56,013,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_013_2021_Oct_29_0829,2021_Oct_29_0829,0.6426429261547959,7925.330811252268
57,043,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_043_2021_Nov_22_1232,2021_Nov_22_1232,0.4885790079339659,11357.814390199637
58,025,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_025_2021_Nov_02_1125,2021_Nov_02_1125,0.47461275965948607,11832.955754990926
59,032,stimulus_o2_b2_c2_n1,stimulus_o2_b2_c2_n1_032_2021_Nov_08_0822,2021_Nov_08_0822,0.5181656448022088,10582.804867513612
60,031,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_031_2021_Nov_08_0728,2021_Nov_08_0728,0.6579036542065172,7701.108239564428
61,026,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_026_2021_Nov_02_1220,2021_Nov_02_1220,0.6296992731521227,8392.176729582578
62,008,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_008_2021_Oct_28_1528,2021_Oct_28_1528,0.5608529145303323,10230.808558983666
63,016,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_016_2021_Oct_29_1124,2021_Oct_29_1124,0.6132265639378897,8889.509462794918
64,030,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_030_2021_Nov_02_1621,2021_Nov_02_1621,0.6101090474288755,8697.288989110708
65,041,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_041_2021_Nov_22_1034,2021_Nov_22_1034,0.7089671301661106,6854.612980036298
66,034,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_034_2021_Nov_09_1331,2021_Nov_09_1331,0.682848774380423,7404.338860254084
67,038,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_038_2021_Nov_11_0832,2021_Nov_11_0832,0.6203476689240337,8431.199368421052
68,034,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_034_2021_Nov_09_1330,2021_Nov_09_1330,0.7766402376079165,5360.220377495462
69,011,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_011_2021_Oct_28_1845,2021_Oct_28_1845,0.6401242344765027,8274.559460980036
70,015,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_015_2021_Oct_29_1031,2021_Oct_29_1031,0.6443685123128694,8471.761388384755
71,022,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_022_2021_Nov_02_0733,2021_Nov_02_0733,0.6446678414826726,8004.334885662432
72,032,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_032_2021_Nov_08_0822,2021_Nov_08_0822,0.6128802948611247,8477.757611615245
73,013,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_013_2021_Oct_29_0829,2021_Oct_29_0829,0.6038838938391805,8779.531506352087
74,012,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_012_2021_Oct_29_0730,2021_Oct_29_0730,0.5853751317384666,9363.354787658802
75,010,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_010_2021_Oct_28_1721,2021_Oct_28_1721,0.5993274109762888,9071.603070780398
76,019,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_019_2021_Nov_01_0723,2021_Nov_01_0723,0.6180327890041288,8730.785591651542
77,009,stimulus_o1_b1_c2_n3,stimulus_o1_b1_c2_n3_009_2021_Oct_28_1621,2021_Oct_28_1621,0.5345870488067466,11645.65707985481
78,024,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_024_2021_Nov_02_1023,2021_Nov_02_1023,0.5139910865368666,10787.630720508167
79,033,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_033_2021_Nov_08_0921,2021_Nov_08_0921,0.5052927756902154,10762.753435571687
80,015,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_015_2021_Oct_29_1031,2021_Oct_29_1031,0.5192176613344675,10345.975417422867
81,019,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_019_2021_Nov_01_0723,2021_Nov_01_0723,0.5434531194214982,9599.013335753176
82,043,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_043_2021_Nov_22_1232,2021_Nov_22_1232,0.5013828235555814,10575.173961887478
83,006,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_006_2021_Oct_27_1217,2021_Oct_27_1217,0.5104717716828076,10791.278502722324
84,014,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_014_2021_Oct_29_0932,2021_Oct_29_0932,0.526159628682552,10218.6659292196
85,036,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_036_2021_Nov_09_1515,2021_Nov_09_1515,0.5142049981314676,10588.342941923775
86,007,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_007_2021_Oct_27_1323,2021_Oct_27_1323,0.6030216773383857,8688.377166969147
87,023,stimulus_o2_b2_c2_n3,stimulus_o2_b2_c2_n3_023_2021_Nov_02_0922,2021_Nov_02_0922,0.4892570413898603,11096.40007985481
