,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Response,Correct_response,Correctness
0,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c1_n3,2,3,1,3,1.7317532770979596,left,left,1
1,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b2_c3_n3,2,2,3,3,1.867439263331471,right,right,1
2,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c3_n1,2,1,3,1,1.4574308186176494,left,left,1
3,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c1_n1,2,1,1,1,1.7691859366812424,right,right,1
4,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c1_n2,1,2,1,2,1.9341674773013438,right,right,1
5,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c3_n1,1,3,3,1,1.3571755207864045,right,right,1
6,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c1_n3,1,1,1,3,2.1103053406950494,right,right,1
7,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c3_n1,1,1,3,1,1.8458029645982605,right,right,1
8,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c2_n3,2,3,2,3,1.2161475236594925,left,left,1
9,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c1_n1,1,3,1,1,1.4280219517646402,left,left,1
10,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c2_n2,1,1,2,2,1.9104778912394977,right,right,1
11,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c2_n2,2,1,2,2,1.4514729177433765,right,right,1
12,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c3_n3,1,2,3,3,1.145669927486415,left,left,1
13,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c1_n3,2,1,1,3,1.6222289040118993,right,right,1
14,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b2_c3_n1,2,2,3,1,1.104513319266698,left,left,1
15,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c1_n1,1,2,1,1,1.1516890228662304,right,right,1
16,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c2_n3,1,2,2,3,1.1247347676837307,left,left,1
17,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c2_n1,1,2,2,1,1.480776907220752,right,right,1
18,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c3_n3,1,1,3,3,1.251705764759754,left,left,1
19,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b2_c1_n2,2,2,1,2,0.8985041022448058,right,right,1
20,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c2_n1,2,1,2,1,1.369124806321088,right,right,1
21,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c3_n3,1,2,3,3,1.7926054715198916,right,right,1
22,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b2_c2_n3,2,2,2,3,0.9279309297491636,left,left,1
23,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b2_c2_n3,2,2,2,3,0.9165424014094242,left,left,1
24,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c2_n1,1,3,2,1,1.2943642362375614,left,left,1
25,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c1_n2,2,3,1,2,0.9514883767318679,left,left,1
26,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c2_n3,1,3,2,3,1.2280133563099298,left,left,1
27,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c1_n1,1,2,1,1,0.92795273911197,left,left,1
28,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c2_n2,2,3,2,2,1.457354165122706,left,left,1
29,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c3_n1,1,1,3,1,0.9101441438488109,left,left,1
30,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c3_n2,2,3,3,2,1.175068851836113,left,left,1
31,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c3_n1,1,3,3,1,1.3218475608960945,right,right,1
32,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c1_n1,2,3,1,1,1.6219331947153477,right,right,1
33,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b2_c2_n1,2,2,2,1,1.8337460434453532,right,right,1
34,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c1_n3,1,3,1,3,1.2808506741823293,right,right,1
35,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c1_n2,1,3,1,2,1.9570458833710291,right,right,1
36,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c3_n2,1,3,3,2,1.157637430253999,left,left,1
37,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c3_n2,1,3,3,2,1.2688832355592239,left,left,1
38,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c3_n3,2,1,3,3,1.1102303549765566,left,left,1
39,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c3_n1,2,3,3,1,1.4631812098228694,right,right,1
40,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c2_n2,2,1,2,2,1.4806325805579035,right,right,1
41,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c1_n3,1,3,1,3,1.1749918776160484,left,left,1
42,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c3_n3,1,1,3,3,1.163447155754875,left,left,1
43,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c2_n3,1,1,2,3,1.0629218067004331,right,right,1
44,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c2_n2,1,1,2,2,1.2341309786919736,left,left,1
45,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b2_c1_n3,1,2,1,3,1.3450576617095067,right,right,1
46,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c1_n1,2,3,1,1,1.3866341001568798,left,left,1
47,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c1_n3,2,3,1,3,0.9458858401749239,left,left,1
48,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c3_n3,2,1,3,3,1.6645217479439451,right,right,1
49,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c3_n3,2,3,3,3,1.2748985463738791,right,right,1
50,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c1_n2,2,3,1,2,1.2045049803926304,left,left,1
51,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c1_n2,1,1,1,2,1.0922758294213053,left,left,1
52,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b3_c3_n1,2,3,3,1,1.1395179874318273,left,left,1
53,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b2_c1_n2,2,2,1,2,1.2512689360588412,right,right,1
54,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b1_c2_n1,1,1,2,1,1.1279787179113554,left,left,1
55,2021_Oct_27_0904,003,22,female,danish,stimulus_o2_b1_c1_n1,2,1,1,1,0.9102798109133801,left,left,1
56,2021_Oct_27_0904,003,22,female,danish,stimulus_o1_b3_c1_n2,1,3,1,2,0.9691744546931659,left,left,1
