,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Response,Correct_response,Correctness
0,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c3_n2,1,1,3,2,5.362822850830912,left,left,1
1,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c2_n2,1,2,2,2,4.839243971794053,right,right,1
2,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c3_n1,2,2,3,1,3.745425965850359,right,right,1
3,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c2_n3,2,3,2,3,3.6157971677325804,left,left,1
4,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c1_n2,1,2,1,2,4.239114911643105,left,left,1
5,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c3_n2,2,1,3,2,5.809595994260372,right,right,1
6,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c1_n1,2,1,1,1,6.62645514999399,right,right,1
7,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c1_n1,1,2,1,1,3.8569983379977884,left,left,1
8,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c2_n1,2,2,2,1,4.5857189041689255,right,right,1
9,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c2_n3,1,1,2,3,4.433466733976343,left,left,1
10,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c1_n1,2,2,1,1,4.7798808566977184,right,right,1
11,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c2_n2,2,2,2,2,4.198041967641257,right,right,1
12,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c1_n3,2,2,1,3,4.062747416070738,left,left,1
13,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b3_c1_n3,1,3,1,3,3.9686961781645778,right,right,1
14,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c1_n2,1,1,1,2,3.2158051858832324,left,left,1
15,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c1_n2,2,2,1,2,3.9336446086276053,left,left,1
16,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c1_n2,2,1,1,2,4.091560928642889,right,right,1
17,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c1_n3,1,1,1,3,3.098379820432001,right,right,1
18,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b3_c2_n3,1,3,2,3,3.415816411293963,left,left,1
19,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c3_n3,2,3,3,3,4.638860126891904,right,right,1
20,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c1_n2,1,1,1,2,3.615733856416091,left,left,1
21,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c2_n2,2,3,2,2,3.3982417799524227,right,right,1
22,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c2_n3,2,2,2,3,3.286357918693329,right,right,1
23,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c1_n2,2,2,1,2,4.609497210645896,left,left,1
24,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c3_n1,1,1,3,1,5.574597216226584,right,right,1
25,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c2_n3,2,2,2,3,6.449774497534554,right,right,1
26,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c1_n1,2,1,1,1,4.19193739684656,right,right,1
27,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c3_n2,2,2,3,2,4.098046201224906,left,left,1
28,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b3_c2_n2,1,3,2,2,4.015296642704061,right,right,1
29,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c2_n3,2,1,2,3,5.121182157626663,right,right,1
30,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c3_n1,1,2,3,1,4.856328277194462,left,left,1
31,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c3_n2,2,1,3,2,5.068096997811972,right,right,1
32,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c1_n1,1,2,1,1,3.0978900076525404,right,right,1
33,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c3_n3,2,1,3,3,4.403616250032973,left,right,0
34,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c1_n2,2,3,1,2,3.9802602755805765,right,right,1
35,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c2_n1,2,3,2,1,4.027142658292905,left,left,1
36,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c3_n3,1,2,3,3,4.162534133266854,right,right,1
37,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c3_n1,1,1,3,1,1.6631887992210523,right,right,1
38,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c2_n3,2,3,2,3,4.321442138139264,left,left,1
39,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c2_n1,1,2,2,1,3.462429063422269,right,right,1
40,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c2_n2,1,1,2,2,3.9622996825452903,left,left,1
41,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c1_n1,2,3,1,1,5.027001282262518,left,left,1
42,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c3_n2,1,1,3,2,3.903689632146461,left,left,1
43,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c3_n2,1,2,3,2,3.827513096847133,left,left,1
44,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c2_n3,1,1,2,3,3.468046130665198,right,right,1
45,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b3_c2_n1,1,3,2,1,3.6390506381484102,left,left,1
46,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c1_n2,1,2,1,2,3.333218556181282,right,right,1
47,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c3_n3,1,1,3,3,5.226195490207419,right,right,1
48,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c2_n1,2,1,2,1,5.757276215022512,left,left,1
49,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b3_c2_n1,1,3,2,1,4.203406238634306,left,left,1
50,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c1_n3,1,1,1,3,4.926955418441503,right,right,1
51,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c3_n2,2,2,3,2,3.991802114610755,right,right,1
52,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c1_n3,1,2,1,3,3.362631505686932,left,left,1
53,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c3_n1,2,3,3,1,3.54476462879511,left,left,1
54,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c2_n2,2,1,2,2,5.309201372964026,right,right,1
55,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c3_n2,1,2,3,2,3.3861266752320716,left,left,1
56,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c3_n1,2,1,3,1,3.67428117280524,right,right,1
57,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b1_c2_n1,2,1,2,1,4.062295513107119,left,left,1
58,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c2_n1,1,1,2,1,3.3155611775263423,right,right,1
59,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b2_c2_n2,1,2,2,2,4.144636723257781,right,right,1
60,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c1_n2,2,3,1,2,3.8565540683131987,right,right,1
61,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b1_c1_n1,1,1,1,1,3.891626485041479,left,left,1
62,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c3_n2,2,3,3,2,7.719573716631066,left,left,1
63,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b3_c3_n1,1,3,3,1,3.850611528304216,left,left,1
64,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b2_c2_n2,2,2,2,2,3.885885938280853,right,right,1
65,2021_Oct_29_0703,012,20,female,Czech,stimulus_o2_b3_c1_n3,2,3,1,3,2.997882053647254,right,right,1
66,2021_Oct_29_0703,012,20,female,Czech,stimulus_o1_b3_c3_n2,1,3,3,2,3.779443065678879,right,right,1
