,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Response,Correct_response,Correctness
0,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c2_n3,1,2,2,3,1.5337136821997546,right,right,1
1,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c1_n1,1,3,1,1,1.244828470968082,right,right,1
2,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c3_n1,1,2,3,1,1.3577026017607523,right,right,1
3,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c2_n2,1,1,2,2,1.1730673296713348,right,right,1
4,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c1_n2,1,2,1,2,1.257277639919107,right,right,1
5,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c1_n2,1,1,1,2,1.1511415437243158,left,left,1
6,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c2_n2,2,3,2,2,1.4573002831688882,left,left,1
7,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c3_n2,1,3,3,2,1.280621034424439,left,left,1
8,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c1_n2,1,2,1,2,0.9866550114868687,left,left,1
9,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c1_n3,1,3,1,3,1.2222772694806507,left,left,1
10,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c1_n3,1,2,1,3,0.9806955069827836,right,right,1
11,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c1_n1,2,1,1,1,1.2745705720499245,right,right,1
12,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c1_n2,2,3,1,2,1.7042237679073877,right,right,1
13,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c1_n1,1,1,1,1,1.3920533097792032,right,right,1
14,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c2_n1,2,3,2,1,1.5037469767572929,right,right,1
15,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c1_n3,1,3,1,3,0.804085727472102,right,right,1
16,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c3_n1,1,1,3,1,1.4697252052404337,right,right,1
17,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c3_n2,1,1,3,2,1.2026869134524532,right,right,1
18,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c1_n1,2,1,1,1,1.5978441124504115,left,left,1
19,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c3_n2,1,3,3,2,1.1219451898649369,left,left,1
20,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c2_n1,2,2,2,1,1.5751780910842625,left,left,1
21,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c3_n1,1,3,3,1,1.5391934769480258,left,left,1
22,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c1_n1,2,3,1,1,1.2162049335985103,right,right,1
23,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c3_n3,2,2,3,3,1.5159178839017158,left,left,1
24,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c2_n2,1,1,2,2,1.1172459137112356,left,left,1
25,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c3_n1,2,2,3,1,0.9809755648544524,right,right,1
26,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c3_n1,2,1,3,1,1.3098475365202376,right,right,1
27,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c3_n3,1,2,3,3,1.0741987224203968,left,left,1
28,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c3_n2,2,3,3,2,1.3100659508705803,left,left,1
29,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c3_n2,1,2,3,2,1.1749240120118656,left,left,1
30,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c2_n1,2,1,2,1,1.2455073194465285,left,left,1
31,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c3_n3,2,1,3,3,1.086563797035683,left,left,1
32,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c3_n3,1,3,3,3,0.9920575433612839,left,left,1
33,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c2_n3,2,1,2,3,1.8562696625032458,left,left,1
34,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c1_n1,1,3,1,1,0.8396524357369799,left,left,1
35,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c3_n2,2,2,3,2,1.1689465468563185,left,left,1
36,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c3_n1,2,1,3,1,1.3099238692888093,right,right,1
37,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c3_n2,1,2,3,2,1.1274389361905377,right,right,1
38,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c3_n3,1,1,3,3,1.1394785381440442,right,right,1
39,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c3_n2,2,1,3,2,1.8982230821953863,right,right,1
40,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c3_n3,2,2,3,3,1.5271999312363504,right,right,1
41,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c2_n1,2,1,2,1,1.3331239634538634,left,left,1
42,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c2_n3,1,3,2,3,0.9629538792922403,right,right,1
43,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c3_n2,1,1,3,2,1.23931272284442,right,right,1
44,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c3_n2,2,2,3,2,1.1687286456674884,left,left,1
45,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c2_n3,2,2,2,3,1.7394515330217473,left,left,1
46,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c2_n1,1,2,2,1,1.1626960156540007,left,left,1
47,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c2_n1,1,1,2,1,0.9690471265042561,right,right,1
48,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c3_n1,2,2,3,1,1.093031042740904,right,right,1
49,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c1_n2,2,1,1,2,1.480884991855214,left,left,1
50,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c3_n3,2,1,3,3,1.145221552653402,left,left,1
51,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c2_n2,1,3,2,2,1.192178970193936,right,right,1
52,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c1_n3,1,1,1,3,1.1213614686937263,right,right,1
53,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c1_n3,2,2,1,3,1.2097598500542517,left,left,1
54,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c2_n1,2,2,2,1,1.0628515677242831,left,left,1
55,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c1_n2,2,2,1,2,1.1748870002408693,right,right,1
56,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c2_n1,1,3,2,1,1.03333974785171,right,right,1
57,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c1_n2,2,3,1,2,1.0513924796828178,left,left,1
58,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c3_n1,2,3,3,1,0.6508592407712286,left,left,1
59,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c1_n3,2,2,1,3,1.2865766902176348,right,right,1
60,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c1_n3,2,3,1,3,1.403803873535253,left,left,1
61,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b1_c2_n3,2,1,2,3,1.4509360225560386,left,left,1
62,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b3_c2_n2,1,3,2,2,1.145377104723798,left,left,1
63,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c3_n3,1,2,3,3,1.0272205218403088,right,right,1
64,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b1_c2_n3,1,1,2,3,0.9336822831323616,left,left,1
65,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c2_n1,1,2,2,1,0.7688839411570143,right,right,1
66,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c1_n3,1,2,1,3,1.4803400785201801,left,left,1
67,2021_Oct_27_0707,001,18,other,danish,stimulus_o1_b2_c1_n1,1,2,1,1,1.0219630863712381,right,right,1
68,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b3_c2_n3,2,3,2,3,0.9982969133016695,left,left,1
69,2021_Oct_27_0707,001,18,other,danish,stimulus_o2_b2_c1_n2,2,2,1,2,1.1331925346551543,left,left,1
