,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Response,Correct_response,Correctness
0,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b2_c1_n3,2,2,1,3,1.5663583204703173,left,left,1
1,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b2_c2_n2,2,2,2,2,1.2112195807188981,right,right,1
2,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b1_c3_n2,1,1,3,2,1.1398868606105679,left,left,1
3,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b2_c2_n1,1,2,2,1,1.039789423988259,right,right,1
4,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b3_c3_n1,1,3,3,1,1.3281499484932282,right,right,1
5,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b1_c2_n1,2,1,2,1,1.3865343093624687,right,right,1
6,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b1_c1_n2,2,1,1,2,1.3221018215990625,right,right,1
7,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b3_c3_n2,2,3,3,2,1.3573406535942922,left,left,1
8,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b3_c2_n3,1,3,2,3,1.3984945752337807,left,left,1
9,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b3_c3_n1,2,3,3,1,1.316259408503538,left,left,1
10,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b1_c1_n1,1,1,1,1,1.1279664289453648,left,left,1
11,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b1_c3_n1,1,1,3,1,1.5687820485662087,left,left,1
12,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b1_c3_n3,1,1,3,3,1.2631255283937208,right,right,1
13,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b1_c3_n2,2,1,3,2,1.9100780519336695,left,left,1
14,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b3_c2_n3,2,3,2,3,1.1043341017968487,left,left,1
15,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b2_c3_n2,1,2,3,2,1.2044065859197872,right,right,1
16,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b3_c3_n2,1,3,3,2,1.0398041773965816,right,right,1
17,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b2_c2_n2,1,2,2,2,1.4747020774084376,left,left,1
18,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b3_c2_n1,1,3,2,1,1.0808447543997317,left,left,1
19,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b2_c1_n3,1,2,1,3,0.9101162824968924,left,left,1
20,2021_Nov_02_1600,030,26,male,Greek,stimulus_o2_b2_c1_n2,2,2,1,2,1.0396347698013415,right,right,1
21,2021_Nov_02_1600,030,26,male,Greek,stimulus_o1_b3_c3_n3,1,3,3,3,0.975073734956095,left,left,1
