,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Response,Correct_response,Correctness
0,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c1_n1,1,3,1,1,1.6138147690609912,right,right,1
1,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c2_n3,2,1,2,3,2.2985295343984036,right,right,1
2,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c1_n2,1,1,1,2,1.4275727695727256,left,left,1
3,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c3_n2,2,2,3,2,1.5285926789758377,left,left,1
4,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c1_n2,1,3,1,2,1.1627844681264832,right,right,1
5,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c1_n3,2,1,1,3,1.4631740222008376,right,right,1
6,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c3_n1,2,2,3,1,1.9925535067573947,right,right,1
7,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c2_n3,1,2,2,3,1.393388741996023,left,left,1
8,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c2_n1,2,2,2,1,1.510229370569141,right,right,1
9,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c2_n1,2,3,2,1,1.545693224081333,left,left,1
10,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c2_n1,1,3,2,1,1.4039884230631288,right,right,1
11,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c1_n2,1,1,1,2,1.216255239063321,right,right,1
12,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c3_n2,1,2,3,2,1.4109009071427863,right,right,1
13,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c1_n3,2,1,1,3,1.569074935757817,left,left,1
14,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c1_n2,2,2,1,2,1.6572419981988786,right,right,1
15,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c1_n1,1,2,1,1,1.0045607910913532,left,left,1
16,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c2_n2,1,1,2,2,1.4280371811488295,right,right,1
17,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c2_n1,1,2,2,1,1.2631248869416596,left,left,1
18,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c2_n3,2,3,2,3,1.1514622550159401,right,right,1
19,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c2_n3,1,1,2,3,0.9869143058014742,left,left,1
20,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c2_n2,2,2,2,2,1.3455751326837344,left,left,1
21,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c1_n2,2,3,1,2,1.057479848771618,left,left,1
22,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c2_n2,1,2,2,2,1.3514009963022544,left,left,1
23,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c1_n3,1,1,1,3,1.063054134738195,left,left,1
24,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c2_n1,2,1,2,1,1.2412308959414076,right,right,1
25,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c1_n3,2,2,1,3,1.6448642109302454,right,right,1
26,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c1_n2,1,2,1,2,1.1346719804569148,right,right,1
27,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c3_n3,1,3,3,3,1.0685804400622145,left,left,1
28,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c3_n1,2,3,3,1,1.2217102148737466,left,left,1
29,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c2_n3,1,3,2,3,1.2815083369590865,left,left,1
30,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c3_n1,2,1,3,1,1.045818563891953,left,left,1
31,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c3_n2,2,1,3,2,1.7211709457958932,right,right,1
32,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c3_n3,2,2,3,3,1.9159417612492688,left,left,1
33,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c2_n3,2,3,2,3,1.2810160221983096,right,right,1
34,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c1_n1,1,1,1,1,1.404048463014624,right,right,1
35,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c2_n2,1,2,2,2,1.0813857553934212,left,left,1
36,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c1_n1,2,2,1,1,1.409401512031036,right,right,1
37,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c1_n1,1,1,1,1,0.9516981812252198,left,left,1
38,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c2_n3,1,2,2,3,1.1810148034397572,left,left,1
39,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c2_n2,1,3,2,2,1.410011469166784,left,left,1
40,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c2_n1,1,2,2,1,1.357190938587155,right,right,1
41,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c3_n2,1,3,3,2,1.2683185350280837,right,right,1
42,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c2_n3,2,1,2,3,1.6518481528073607,right,right,1
43,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c3_n2,2,1,3,2,1.9453354219040193,left,left,1
44,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c2_n1,1,1,2,1,1.1688788437437325,left,left,1
45,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c1_n2,2,3,1,2,1.457106908312562,right,right,1
46,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c1_n3,1,2,1,3,1.1860923486266983,right,right,1
47,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c1_n1,2,1,1,1,1.1342246956606687,right,right,1
48,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c2_n1,2,3,2,1,1.0696467906214822,left,left,1
49,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c1_n2,2,2,1,2,1.2395946790238668,right,right,1
50,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c3_n3,1,2,3,3,1.4751656550957706,left,left,1
51,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c1_n3,1,3,1,3,0.9396921797953837,left,left,1
52,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c3_n3,1,3,3,3,1.2510578192421236,left,left,1
53,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c2_n2,1,1,2,2,1.2748682135941636,left,left,1
54,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c3_n1,1,1,3,1,1.3572707352723228,right,right,1
55,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c2_n2,2,1,2,2,1.662908396741841,right,right,1
56,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c3_n2,1,1,3,2,1.3039300508928136,right,right,1
57,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c2_n1,1,3,2,1,1.2454878951524733,left,left,1
58,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c3_n3,1,1,3,3,1.4747698147846677,left,left,1
59,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c1_n2,2,1,1,2,1.4681569531523564,left,left,1
60,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c2_n2,2,3,2,2,1.1220617949635199,left,left,1
61,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c3_n1,1,3,3,1,1.1455116288932914,right,right,1
62,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c2_n3,1,3,2,3,1.4862280158195063,right,right,1
63,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c2_n2,1,3,2,2,1.2511774501261244,left,left,1
64,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c3_n2,1,2,3,2,1.1336159572834732,left,left,1
65,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c2_n3,2,2,2,3,1.6747724447421206,right,right,1
66,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c2_n1,2,1,2,1,1.1274405020769336,left,left,1
67,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c1_n2,2,1,1,2,1.2924223938745854,left,left,1
68,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c2_n3,1,1,2,3,2.0743927690346027,left,left,1
69,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c3_n1,1,2,3,1,1.4858566148504906,right,right,1
70,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c3_n1,1,2,3,1,1.7455107950008824,right,right,1
71,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c3_n2,1,3,3,2,1.521757489918673,right,right,1
72,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c3_n2,2,3,3,2,1.3635374050172686,right,right,1
73,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c1_n2,1,2,1,2,1.3104939055607248,left,left,1
74,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c1_n1,2,3,1,1,1.073967229477421,right,right,1
75,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c1_n1,1,3,1,1,1.0988203047934804,right,right,1
76,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c3_n3,2,2,3,3,1.697943695869617,right,right,1
77,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c1_n3,2,3,1,3,1.3623544384012347,left,left,1
78,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c1_n2,1,3,1,2,1.016356845133123,right,right,1
79,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c1_n1,1,2,1,1,0.9917629166098777,right,right,1
80,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c2_n2,2,1,2,2,1.7458120210765629,left,left,1
81,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c1_n1,2,2,1,1,1.6858192823179707,left,left,1
82,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c3_n3,2,1,3,3,1.2862344944893267,left,left,1
83,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c3_n1,2,2,3,1,1.3218011086843036,right,right,1
84,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c3_n2,2,3,3,2,1.4919362370594171,left,left,1
85,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c3_n2,1,1,3,2,1.4798734029456682,left,left,1
86,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c1_n3,2,2,1,3,1.6807227501369197,right,right,1
87,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c2_n1,2,2,2,1,1.2510030391982583,right,right,1
88,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c1_n1,2,1,1,1,1.321677885670215,right,right,1
89,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c1_n3,1,1,1,3,1.1039816236727347,left,left,1
90,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c1_n3,1,3,1,3,1.086313008270372,right,right,1
91,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c1_n3,2,3,1,3,1.3805356384589687,left,left,1
92,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c2_n2,2,2,2,2,1.5860507825047534,left,left,1
93,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c3_n3,1,2,3,3,1.2978180353311473,left,left,1
94,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c3_n3,2,3,3,3,1.2391482922619617,right,right,1
95,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c3_n1,2,1,3,1,1.1980086108553223,right,right,1
96,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c2_n2,2,3,2,2,1.2742998867186544,right,right,1
97,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b2_c1_n3,1,2,1,3,1.050863395005581,right,right,1
98,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c3_n2,2,2,3,2,1.3684169338303036,right,right,1
99,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c1_n1,2,3,1,1,1.5156448970541532,left,left,1
100,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c2_n1,1,1,2,1,1.5332192189416674,left,left,1
101,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c3_n1,1,1,3,1,1.4151616267750797,right,right,1
102,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c3_n1,2,3,3,1,1.1395921132119837,left,left,1
103,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b3_c3_n1,1,3,3,1,1.0980482526174455,right,right,1
104,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b2_c2_n3,2,2,2,3,1.1448814018556732,left,left,1
105,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b3_c3_n3,2,3,3,3,1.1922670982356067,left,left,1
106,2021_Nov_02_1403,028,25,female,English,stimulus_o2_b1_c3_n3,2,1,3,3,1.150689625533414,right,right,1
107,2021_Nov_02_1403,028,25,female,English,stimulus_o1_b1_c3_n3,1,1,3,3,1.1038453150242276,right,right,1
