,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Screenshot_name
0,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b3_c3_n1,2,3,3,1,89.9933062,screenshots/screenshot_stimulus_o2_b3_c3_n1_012_2021_Oct_29_0730.png
1,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b3_c2_n3,2,3,2,3,87.28492559999995,screenshots/screenshot_stimulus_o2_b3_c2_n3_012_2021_Oct_29_0730.png
2,2021_Oct_29_0730,012,20,female,Czech,stimulus_o1_b3_c1_n2,1,3,1,2,69.14269720000038,screenshots/screenshot_stimulus_o1_b3_c1_n2_012_2021_Oct_29_0730.png
3,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b3_c2_n1,2,3,2,1,52.98135920000004,screenshots/screenshot_stimulus_o2_b3_c2_n1_012_2021_Oct_29_0730.png
4,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b3_c3_n2,2,3,3,2,76.7838815,screenshots/screenshot_stimulus_o2_b3_c3_n2_012_2021_Oct_29_0730.png
5,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b2_c3_n1,2,2,3,1,58.87793269999975,screenshots/screenshot_stimulus_o2_b2_c3_n1_012_2021_Oct_29_0730.png
6,2021_Oct_29_0730,012,20,female,Czech,stimulus_o1_b1_c2_n3,1,1,2,3,75.0956285999996,screenshots/screenshot_stimulus_o1_b1_c2_n3_012_2021_Oct_29_0730.png
7,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b1_c3_n1,2,1,3,1,49.77894130000004,screenshots/screenshot_stimulus_o2_b1_c3_n1_012_2021_Oct_29_0730.png
8,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b1_c3_n3,2,1,3,3,136.87251779999997,screenshots/screenshot_stimulus_o2_b1_c3_n3_012_2021_Oct_29_0730.png
9,2021_Oct_29_0730,012,20,female,Czech,stimulus_o1_b1_c3_n2,1,1,3,2,74.01846650000016,screenshots/screenshot_stimulus_o1_b1_c3_n2_012_2021_Oct_29_0730.png
10,2021_Oct_29_0730,012,20,female,Czech,stimulus_o1_b1_c1_n3,1,1,1,3,25.15359320000016,screenshots/screenshot_stimulus_o1_b1_c1_n3_012_2021_Oct_29_0730.png
11,2021_Oct_29_0730,012,20,female,Czech,stimulus_o2_b1_c2_n3,2,1,2,3,28.164421400000265,screenshots/screenshot_stimulus_o2_b1_c2_n3_012_2021_Oct_29_0730.png
12,2021_Oct_29_0730,012,20,female,Czech,stimulus_o1_b1_c1_n1,1,1,1,1,14.227357600000232,screenshots/screenshot_stimulus_o1_b1_c1_n1_012_2021_Oct_29_0730.png
