,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Screenshot_name
0,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o2_b3_c1_n3,2,3,1,3,22.725134699998307,screenshots/screenshot_stimulus_o2_b3_c1_n3_027_2021_Nov_02_1318.png
1,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o2_b3_c1_n2,2,3,1,2,14.505984500003251,screenshots/screenshot_stimulus_o2_b3_c1_n2_027_2021_Nov_02_1318.png
2,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b3_c3_n3,1,3,3,3,128.98332830000072,screenshots/screenshot_stimulus_o1_b3_c3_n3_027_2021_Nov_02_1318.png
3,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o2_b2_c1_n2,2,2,1,2,37.651608100000885,screenshots/screenshot_stimulus_o2_b2_c1_n2_027_2021_Nov_02_1318.png
4,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b1_c3_n2,1,1,3,2,152.60730599999806,screenshots/screenshot_stimulus_o1_b1_c3_n2_027_2021_Nov_02_1318.png
5,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b3_c3_n2,1,3,3,2,101.41535360000125,screenshots/screenshot_stimulus_o1_b3_c3_n2_027_2021_Nov_02_1318.png
6,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b3_c3_n1,1,3,3,1,96.95318670000051,screenshots/screenshot_stimulus_o1_b3_c3_n1_027_2021_Nov_02_1318.png
7,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o2_b1_c1_n3,2,1,1,3,33.96148560000074,screenshots/screenshot_stimulus_o2_b1_c1_n3_027_2021_Nov_02_1318.png
8,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b1_c3_n3,1,1,3,3,81.8201575000021,screenshots/screenshot_stimulus_o1_b1_c3_n3_027_2021_Nov_02_1318.png
9,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b3_c1_n2,1,3,1,2,41.260603300001094,screenshots/screenshot_stimulus_o1_b3_c1_n2_027_2021_Nov_02_1318.png
10,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b2_c2_n2,1,2,2,2,39.06178290000025,screenshots/screenshot_stimulus_o1_b2_c2_n2_027_2021_Nov_02_1318.png
11,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o2_b1_c3_n2,2,1,3,2,75.66479550000076,screenshots/screenshot_stimulus_o2_b1_c3_n2_027_2021_Nov_02_1318.png
12,2021_Nov_02_1318,027,33,female,lithuanian,stimulus_o1_b2_c2_n3,1,2,2,3,28.61313710000104,screenshots/screenshot_stimulus_o1_b2_c2_n3_027_2021_Nov_02_1318.png
