,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Screenshot_name
0,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b3_c1_n3,1,3,1,3,44.27267649999885,screenshots/screenshot_stimulus_o1_b3_c1_n3_039_2021_Nov_11_0928.png
1,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b3_c3_n2,2,3,3,2,105.6130835999993,screenshots/screenshot_stimulus_o2_b3_c3_n2_039_2021_Nov_11_0928.png
2,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b1_c3_n1,1,1,3,1,80.93070909999915,screenshots/screenshot_stimulus_o1_b1_c3_n1_039_2021_Nov_11_0928.png
3,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b3_c3_n1,1,3,3,1,39.53669509999963,screenshots/screenshot_stimulus_o1_b3_c3_n1_039_2021_Nov_11_0928.png
4,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b3_c1_n2,2,3,1,2,14.487217399999281,screenshots/screenshot_stimulus_o2_b3_c1_n2_039_2021_Nov_11_0928.png
5,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b2_c1_n1,2,2,1,1,28.17246620000151,screenshots/screenshot_stimulus_o2_b2_c1_n1_039_2021_Nov_11_0928.png
6,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b2_c2_n2,1,2,2,2,40.32344449999982,screenshots/screenshot_stimulus_o1_b2_c2_n2_039_2021_Nov_11_0928.png
7,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b1_c3_n3,2,1,3,3,144.94667109999864,screenshots/screenshot_stimulus_o2_b1_c3_n3_039_2021_Nov_11_0928.png
8,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b2_c1_n2,2,2,1,2,63.85069470000053,screenshots/screenshot_stimulus_o2_b2_c1_n2_039_2021_Nov_11_0928.png
9,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b3_c1_n1,1,3,1,1,20.76924080000026,screenshots/screenshot_stimulus_o1_b3_c1_n1_039_2021_Nov_11_0928.png
10,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b3_c3_n3,2,3,3,3,71.0864658999999,screenshots/screenshot_stimulus_o2_b3_c3_n3_039_2021_Nov_11_0928.png
11,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b2_c3_n1,2,2,3,1,61.573474000000715,screenshots/screenshot_stimulus_o2_b2_c3_n1_039_2021_Nov_11_0928.png
12,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b1_c3_n2,1,1,3,2,50.4725881000013,screenshots/screenshot_stimulus_o1_b1_c3_n2_039_2021_Nov_11_0928.png
13,2021_Nov_11_0928,039,25,male,Danish,stimulus_o2_b1_c1_n1,2,1,1,1,15.225148600000466,screenshots/screenshot_stimulus_o2_b1_c1_n1_039_2021_Nov_11_0928.png
14,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b2_c2_n3,1,2,2,3,27.185109299998658,screenshots/screenshot_stimulus_o1_b2_c2_n3_039_2021_Nov_11_0928.png
15,2021_Nov_11_0928,039,25,male,Danish,stimulus_o1_b2_c3_n2,1,2,3,2,51.67218010000033,screenshots/screenshot_stimulus_o1_b2_c3_n2_039_2021_Nov_11_0928.png
