,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Screenshot_name
0,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b3_c2_n2,1,3,2,2,37.76088789999994,screenshots/screenshot_stimulus_o1_b3_c2_n2_010_2021_Oct_28_1721.png
1,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b2_c3_n2,2,2,3,2,127.32082919999993,screenshots/screenshot_stimulus_o2_b2_c3_n2_010_2021_Oct_28_1721.png
2,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b3_c2_n3,1,3,2,3,24.76136139999835,screenshots/screenshot_stimulus_o1_b3_c2_n3_010_2021_Oct_28_1721.png
3,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b3_c3_n2,1,3,3,2,45.85104890000002,screenshots/screenshot_stimulus_o1_b3_c3_n2_010_2021_Oct_28_1721.png
4,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b2_c2_n1,1,2,2,1,28.416253499999584,screenshots/screenshot_stimulus_o1_b2_c2_n1_010_2021_Oct_28_1721.png
5,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b1_c1_n2,2,1,1,2,26.53366790000109,screenshots/screenshot_stimulus_o2_b1_c1_n2_010_2021_Oct_28_1721.png
6,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b1_c2_n2,2,1,2,2,30.247271000000183,screenshots/screenshot_stimulus_o2_b1_c2_n2_010_2021_Oct_28_1721.png
7,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b1_c2_n3,1,1,2,3,39.67303030000039,screenshots/screenshot_stimulus_o1_b1_c2_n3_010_2021_Oct_28_1721.png
8,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b1_c1_n3,2,1,1,3,20.434257000000798,screenshots/screenshot_stimulus_o2_b1_c1_n3_010_2021_Oct_28_1721.png
9,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b1_c2_n3,2,1,2,3,30.39706060000026,screenshots/screenshot_stimulus_o2_b1_c2_n3_010_2021_Oct_28_1721.png
10,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b2_c3_n3,1,2,3,3,35.96875259999979,screenshots/screenshot_stimulus_o1_b2_c3_n3_010_2021_Oct_28_1721.png
11,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b1_c3_n3,1,1,3,3,37.96158579999974,screenshots/screenshot_stimulus_o1_b1_c3_n3_010_2021_Oct_28_1721.png
12,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b1_c3_n3,2,1,3,3,47.75349339999957,screenshots/screenshot_stimulus_o2_b1_c3_n3_010_2021_Oct_28_1721.png
13,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b1_c2_n2,1,1,2,2,16.889107499999227,screenshots/screenshot_stimulus_o1_b1_c2_n2_010_2021_Oct_28_1721.png
14,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b1_c2_n1,1,1,2,1,30.756968400000915,screenshots/screenshot_stimulus_o1_b1_c2_n1_010_2021_Oct_28_1721.png
15,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b3_c2_n1,1,3,2,1,22.186528599999292,screenshots/screenshot_stimulus_o1_b3_c2_n1_010_2021_Oct_28_1721.png
16,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b2_c1_n1,2,2,1,1,12.709667799999806,screenshots/screenshot_stimulus_o2_b2_c1_n1_010_2021_Oct_28_1721.png
17,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b1_c3_n2,2,1,3,2,48.1797760999998,screenshots/screenshot_stimulus_o2_b1_c3_n2_010_2021_Oct_28_1721.png
18,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b3_c2_n2,2,3,2,2,24.2575925000001,screenshots/screenshot_stimulus_o2_b3_c2_n2_010_2021_Oct_28_1721.png
19,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b3_c3_n3,2,3,3,3,45.85581049999928,screenshots/screenshot_stimulus_o2_b3_c3_n3_010_2021_Oct_28_1721.png
20,2021_Oct_28_1721,010,25,female,slovak,stimulus_o2_b2_c2_n1,2,2,2,1,13.493081999999049,screenshots/screenshot_stimulus_o2_b2_c2_n1_010_2021_Oct_28_1721.png
21,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b2_c1_n1,1,2,1,1,18.307834000001094,screenshots/screenshot_stimulus_o1_b2_c1_n1_010_2021_Oct_28_1721.png
22,2021_Oct_28_1721,010,25,female,slovak,stimulus_o1_b1_c1_n3,1,1,1,3,21.03714989999935,screenshots/screenshot_stimulus_o1_b1_c1_n3_010_2021_Oct_28_1721.png
