,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Screenshot_name
0,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b3_c2_n3,1,3,2,3,37.9647300000006,screenshots/screenshot_stimulus_o1_b3_c2_n3_035_2021_Nov_09_1427.png
1,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b2_c2_n3,1,2,2,3,40.67671979999977,screenshots/screenshot_stimulus_o1_b2_c2_n3_035_2021_Nov_09_1427.png
2,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b2_c3_n3,2,2,3,3,95.75760069999978,screenshots/screenshot_stimulus_o2_b2_c3_n3_035_2021_Nov_09_1427.png
3,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b3_c2_n1,1,3,2,1,52.941671399999905,screenshots/screenshot_stimulus_o1_b3_c2_n1_035_2021_Nov_09_1427.png
4,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b1_c2_n2,1,1,2,2,54.42540030000055,screenshots/screenshot_stimulus_o1_b1_c2_n2_035_2021_Nov_09_1427.png
5,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b3_c2_n2,1,3,2,2,37.625412100000176,screenshots/screenshot_stimulus_o1_b3_c2_n2_035_2021_Nov_09_1427.png
6,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b3_c1_n1,2,3,1,1,57.422261500000786,screenshots/screenshot_stimulus_o2_b3_c1_n1_035_2021_Nov_09_1427.png
7,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b1_c2_n1,2,1,2,1,82.28289590000077,screenshots/screenshot_stimulus_o2_b1_c2_n1_035_2021_Nov_09_1427.png
8,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b1_c1_n3,2,1,1,3,29.937765599999693,screenshots/screenshot_stimulus_o2_b1_c1_n3_035_2021_Nov_09_1427.png
9,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b2_c1_n3,1,2,1,3,22.82450499999959,screenshots/screenshot_stimulus_o1_b2_c1_n3_035_2021_Nov_09_1427.png
10,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b1_c2_n2,2,1,2,2,51.449954400000024,screenshots/screenshot_stimulus_o2_b1_c2_n2_035_2021_Nov_09_1427.png
11,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b3_c1_n3,2,3,1,3,32.77914790000068,screenshots/screenshot_stimulus_o2_b3_c1_n3_035_2021_Nov_09_1427.png
12,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b2_c1_n2,2,2,1,2,37.34154959999978,screenshots/screenshot_stimulus_o2_b2_c1_n2_035_2021_Nov_09_1427.png
13,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b3_c1_n1,1,3,1,1,15.678618699999788,screenshots/screenshot_stimulus_o1_b3_c1_n1_035_2021_Nov_09_1427.png
14,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b2_c1_n3,2,2,1,3,21.20415629999934,screenshots/screenshot_stimulus_o2_b2_c1_n3_035_2021_Nov_09_1427.png
15,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b3_c3_n3,2,3,3,3,64.71894810000049,screenshots/screenshot_stimulus_o2_b3_c3_n3_035_2021_Nov_09_1427.png
16,2021_Nov_09_1427,035,20,female,German,stimulus_o1_b1_c3_n3,1,1,3,3,37.24211790000027,screenshots/screenshot_stimulus_o1_b1_c3_n3_035_2021_Nov_09_1427.png
17,2021_Nov_09_1427,035,20,female,German,stimulus_o2_b1_c3_n1,2,1,3,1,77.33459129999937,screenshots/screenshot_stimulus_o2_b1_c3_n1_035_2021_Nov_09_1427.png
