,TimeStamp,ID,Age,Gender,Language,Stimulus,Orientation,BlankSpace,Complexity,Noise,Reaction_time,Screenshot_name
0,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b1_c3_n1,2,1,3,1,65.43847049999749,screenshots/screenshot_stimulus_o2_b1_c3_n1_018_2021_Oct_29_1330.png
1,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b2_c1_n1,1,2,1,1,16.93956640000033,screenshots/screenshot_stimulus_o1_b2_c1_n1_018_2021_Oct_29_1330.png
2,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b3_c1_n1,1,3,1,1,30.565216499999224,screenshots/screenshot_stimulus_o1_b3_c1_n1_018_2021_Oct_29_1330.png
3,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b2_c3_n1,1,2,3,1,42.85077699999965,screenshots/screenshot_stimulus_o1_b2_c3_n1_018_2021_Oct_29_1330.png
4,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b3_c1_n2,2,3,1,2,8.994534999997995,screenshots/screenshot_stimulus_o2_b3_c1_n2_018_2021_Oct_29_1330.png
5,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b1_c1_n2,1,1,1,2,35.02440220000062,screenshots/screenshot_stimulus_o1_b1_c1_n2_018_2021_Oct_29_1330.png
6,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b2_c2_n2,2,2,2,2,26.48019060000297,screenshots/screenshot_stimulus_o2_b2_c2_n2_018_2021_Oct_29_1330.png
7,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b3_c1_n2,1,3,1,2,13.740523399999802,screenshots/screenshot_stimulus_o1_b3_c1_n2_018_2021_Oct_29_1330.png
8,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b3_c1_n3,1,3,1,3,11.217087500001071,screenshots/screenshot_stimulus_o1_b3_c1_n3_018_2021_Oct_29_1330.png
9,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b2_c2_n3,2,2,2,3,21.34047400000054,screenshots/screenshot_stimulus_o2_b2_c2_n3_018_2021_Oct_29_1330.png
10,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b2_c3_n3,1,2,3,3,49.36184990000038,screenshots/screenshot_stimulus_o1_b2_c3_n3_018_2021_Oct_29_1330.png
11,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b2_c1_n1,2,2,1,1,10.840054499996768,screenshots/screenshot_stimulus_o2_b2_c1_n1_018_2021_Oct_29_1330.png
12,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b2_c2_n1,2,2,2,1,22.058398100001796,screenshots/screenshot_stimulus_o2_b2_c2_n1_018_2021_Oct_29_1330.png
13,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b2_c1_n2,2,2,1,2,9.059198200000537,screenshots/screenshot_stimulus_o2_b2_c1_n2_018_2021_Oct_29_1330.png
14,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b1_c3_n2,2,1,3,2,49.0544366000031,screenshots/screenshot_stimulus_o2_b1_c3_n2_018_2021_Oct_29_1330.png
15,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b3_c3_n2,2,3,3,2,26.05689480000001,screenshots/screenshot_stimulus_o2_b3_c3_n2_018_2021_Oct_29_1330.png
16,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b2_c2_n2,1,2,2,2,43.78155609999885,screenshots/screenshot_stimulus_o1_b2_c2_n2_018_2021_Oct_29_1330.png
17,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b2_c1_n3,2,2,1,3,7.6398030999989714,screenshots/screenshot_stimulus_o2_b2_c1_n3_018_2021_Oct_29_1330.png
18,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b3_c2_n3,2,3,2,3,5.220856500000082,screenshots/screenshot_stimulus_o2_b3_c2_n3_018_2021_Oct_29_1330.png
19,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b2_c2_n3,1,2,2,3,49.004661800001486,screenshots/screenshot_stimulus_o1_b2_c2_n3_018_2021_Oct_29_1330.png
20,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b3_c1_n1,2,3,1,1,10.945903899999394,screenshots/screenshot_stimulus_o2_b3_c1_n1_018_2021_Oct_29_1330.png
21,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b1_c1_n1,1,1,1,1,11.719457399998646,screenshots/screenshot_stimulus_o1_b1_c1_n1_018_2021_Oct_29_1330.png
22,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b3_c2_n1,1,3,2,1,24.190415900000517,screenshots/screenshot_stimulus_o1_b3_c2_n1_018_2021_Oct_29_1330.png
23,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b2_c1_n3,1,2,1,3,12.664017800001602,screenshots/screenshot_stimulus_o1_b2_c1_n3_018_2021_Oct_29_1330.png
24,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b3_c3_n2,1,3,3,2,34.00027039999986,screenshots/screenshot_stimulus_o1_b3_c3_n2_018_2021_Oct_29_1330.png
25,2021_Oct_29_1330,018,41,male,English,stimulus_o1_b2_c1_n2,1,2,1,2,11.969532999999501,screenshots/screenshot_stimulus_o1_b2_c1_n2_018_2021_Oct_29_1330.png
26,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b1_c2_n3,2,1,2,3,22.79045760000008,screenshots/screenshot_stimulus_o2_b1_c2_n3_018_2021_Oct_29_1330.png
27,2021_Oct_29_1330,018,41,male,English,stimulus_o2_b1_c1_n1,2,1,1,1,8.577078300000721,screenshots/screenshot_stimulus_o2_b1_c1_n1_018_2021_Oct_29_1330.png
